"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BEML","EQ","19-Jun-2020","        626.90","        630.00","        667.00","        616.10","        641.00","        642.95","        644.52","    2837521","          1828850247.40","      66761","     485782","         17.12"
"BEML","EQ","22-Jun-2020","        642.95","        647.00","        670.00","        631.40","        658.50","        656.45","        653.66","    2210852","          1445147807.15","      54781","     378382","         17.11"
"BEML","EQ","23-Jun-2020","        656.45","        660.40","        671.70","        650.00","        657.70","        658.65","        661.44","     868743","           574622272.65","      22276","     204086","         36.16"
"BEML","EQ","24-Jun-2020","        658.65","        665.00","        675.00","        640.50","        644.00","        643.80","        660.61","    1131411","           747421553.85","      27234","     264806","         23.40"
"BEML","EQ","25-Jun-2020","        643.80","        640.00","        648.85","        635.00","        641.00","        642.95","        641.51","     515302","           330573862.35","      14970","     129040","         25.04"
"BEML","EQ","26-Jun-2020","        642.95","        646.50","        658.00","        635.70","        644.00","        646.30","        647.12","     546262","           353497639.95","      14052","     114414","         20.94"
"BEML","EQ","29-Jun-2020","        646.30","        627.05","        634.90","        616.00","        624.50","        626.70","        625.91","     528364","           330708071.30","      15986","     122415","         23.17"
"BEML","EQ","30-Jun-2020","        626.70","        630.00","        656.90","        630.00","        637.90","        638.65","        645.36","    1438214","           928172737.75","      41805","     207831","         14.45"
"BEML","EQ","01-Jul-2020","        638.65","        640.00","        643.80","        626.00","        629.00","        630.65","        632.51","     287982","           182151561.85","       8535","      76462","         26.55"
"BEML","EQ","02-Jul-2020","        630.65","        648.00","        648.00","        633.75","        639.15","        641.35","        640.56","     572537","           366747135.35","      14332","     132503","         23.14"
"BEML","EQ","03-Jul-2020","        641.35","        649.90","        672.00","        642.30","        657.00","        660.10","        658.26","    2212911","          1456663598.55","      55633","     381254","         17.23"
"BEML","EQ","06-Jul-2020","        660.10","        660.10","        678.00","        660.05","        664.40","        666.45","        669.37","    2030403","          1359097735.80","      39641","     377900","         18.61"
"BEML","EQ","07-Jul-2020","        666.45","        670.00","        670.00","        647.80","        650.00","        651.25","        655.39","     766115","           502103040.10","      25228","     238842","         31.18"
"BEML","EQ","08-Jul-2020","        651.25","        654.95","        659.00","        642.10","        644.00","        644.70","        649.81","     601302","           390733442.60","      16026","     121690","         20.24"
"BEML","EQ","09-Jul-2020","        644.70","        644.70","        648.80","        635.10","        639.70","        639.80","        641.17","     437695","           280636504.55","      11185","      87421","         19.97"
"BEML","EQ","10-Jul-2020","        639.80","        639.00","        644.35","        630.65","        637.00","        637.10","        636.29","     332082","           211300838.85","       9823","      65500","         19.72"
"BEML","EQ","13-Jul-2020","        637.10","        648.00","        648.00","        636.10","        638.00","        639.85","        641.20","     394808","           253152024.75","      13539","      85631","         21.69"
"BEML","EQ","14-Jul-2020","        639.85","        643.00","        644.80","        626.15","        627.65","        628.60","        634.71","     310986","           197386018.75","       9205","      94959","         30.53"
"BEML","EQ","15-Jul-2020","        628.60","        635.00","        636.80","        622.00","        626.50","        626.00","        628.89","     281743","           177185305.40","       7911","      66122","         23.47"
"BEML","EQ","16-Jul-2020","        626.00","        621.25","        625.95","        605.70","        613.70","        614.70","        613.78","     276357","           169621986.95","       9675","      61090","         22.11"
"BEML","EQ","17-Jul-2020","        614.70","        623.90","        655.00","        622.25","        655.00","        649.60","        644.55","    1778301","          1146212264.55","      39550","     344441","         19.37"
"BEML","EQ","20-Jul-2020","        649.60","        655.00","        658.45","        641.00","        642.80","        644.15","        649.41","     556802","           361592096.00","      15176","     142060","         25.51"
"BEML","EQ","21-Jul-2020","        644.15","        659.70","        662.35","        647.00","        649.00","        650.65","        653.46","     631853","           412888552.30","      15151","     138758","         21.96"
"BEML","EQ","22-Jul-2020","        650.65","        662.00","        664.00","        644.90","        655.65","        656.65","        655.74","     752070","           493160207.80","      18978","     167249","         22.24"
"BEML","EQ","23-Jul-2020","        656.65","        659.40","        702.00","        652.35","        676.25","        674.60","        683.10","    3557942","          2430412552.20","      84592","     645505","         18.14"
"BEML","EQ","24-Jul-2020","        674.60","        670.00","        679.50","        661.60","        671.90","        669.95","        670.06","     510979","           342385690.85","      14599","      96655","         18.92"
"BEML","EQ","27-Jul-2020","        669.95","        673.00","        673.00","        651.00","        651.80","        653.00","        656.30","     310926","           204060105.60","       9932","      80527","         25.90"
"BEML","EQ","28-Jul-2020","        653.00","        655.00","        662.45","        651.20","        651.50","        653.20","        654.94","     238180","           155993744.20","       7011","      56348","         23.66"
"BEML","EQ","29-Jul-2020","        653.20","        660.00","        672.45","        655.20","        661.05","        662.65","        663.82","     564245","           374559903.00","      18897","     111673","         19.79"
"BEML","EQ","30-Jul-2020","        662.65","        664.60","        664.80","        645.40","        646.00","        647.00","        653.29","     269942","           176350887.05","       8063","      87292","         32.34"
"BEML","EQ","31-Jul-2020","        647.00","        647.95","        647.95","        635.00","        639.95","        640.60","        639.87","     241283","           154389251.25","       8202","      66100","         27.40"
"BEML","EQ","03-Aug-2020","        640.60","        638.00","        650.00","        630.10","        642.00","        638.10","        639.46","     291068","           186125033.90","       8806","      67077","         23.05"
"BEML","EQ","04-Aug-2020","        638.10","        649.95","        668.00","        644.05","        659.00","        658.90","        656.24","     727919","           477689700.65","      19688","     125790","         17.28"
"BEML","EQ","05-Aug-2020","        658.90","        661.25","        669.45","        652.70","        657.10","        657.20","        660.42","     350080","           231200264.65","      10697","      96210","         27.48"
"BEML","EQ","06-Aug-2020","        657.20","        660.50","        664.50","        648.30","        649.85","        652.45","        654.59","     385744","           252505379.50","      13592","      78387","         20.32"
"BEML","EQ","07-Aug-2020","        652.45","        654.70","        666.45","        647.05","        656.00","        656.60","        656.87","     664190","           436288838.85","      18606","     107982","         16.26"
"BEML","EQ","10-Aug-2020","        656.60","        684.00","        696.00","        673.70","        677.50","        682.10","        684.65","    1750355","          1198381208.95","      53342","     322694","         18.44"
"BEML","EQ","11-Aug-2020","        682.10","        682.00","        684.00","        671.00","        674.25","        673.90","        675.52","     255664","           172705861.70","       7855","      77129","         30.17"
"BEML","EQ","12-Aug-2020","        673.90","        673.90","        684.60","        664.05","        681.00","        680.30","        677.60","     642745","           435524902.25","      23605","     130890","         20.36"
"BEML","EQ","13-Aug-2020","        680.30","        683.00","        726.00","        675.20","        717.50","        714.35","        708.04","    1723830","          1220535356.75","      49854","     431709","         25.04"
