"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ALEMBICLTD","EQ","08-Jul-2020","         80.30","         80.45","         82.90","         78.70","         79.50","         79.25","         81.06","     586853","            47572967.55","       4334","     285272","         48.61"
"ALEMBICLTD","EQ","09-Jul-2020","         79.25","         80.00","         83.25","         79.50","         81.55","         81.40","         81.65","    1081763","            88331354.30","       6836","     408907","         37.80"
"ALEMBICLTD","EQ","10-Jul-2020","         81.40","         81.50","         84.10","         79.50","         81.85","         81.95","         82.21","    1299154","           106799982.50","       9755","     431213","         33.19"
"ALEMBICLTD","EQ","13-Jul-2020","         81.95","         82.50","         85.45","         81.80","         82.35","         82.40","         83.45","    1112005","            92794649.55","       8163","     345451","         31.07"
"ALEMBICLTD","EQ","14-Jul-2020","         82.40","         81.40","         83.00","         80.85","         82.10","         82.25","         81.93","     794700","            65105926.85","       5570","     410192","         51.62"
"ALEMBICLTD","EQ","15-Jul-2020","         82.25","         82.90","         93.50","         81.85","         87.00","         87.25","         88.96","    6640846","           590769322.35","      41027","    1848399","         27.83"
"ALEMBICLTD","EQ","16-Jul-2020","         87.25","         87.50","         87.95","         81.55","         83.00","         83.35","         84.00","    1887306","           158533670.20","      13348","     730497","         38.71"
"ALEMBICLTD","EQ","17-Jul-2020","         83.35","         83.50","         87.70","         82.60","         83.00","         82.90","         84.80","    2220234","           188284238.25","      15281","     667837","         30.08"
"ALEMBICLTD","EQ","20-Jul-2020","         82.90","         83.50","         86.60","         83.15","         84.00","         84.05","         84.81","    1910048","           161996327.00","      13271","     699306","         36.61"
"ALEMBICLTD","EQ","21-Jul-2020","         84.05","         84.75","         85.45","         81.80","         82.25","         82.25","         83.44","    1411299","           117755678.45","       9325","     517900","         36.70"
"ALEMBICLTD","EQ","22-Jul-2020","         82.25","         82.70","         86.85","         80.80","         84.90","         84.45","         84.54","    2793439","           236168891.60","      17525","     632636","         22.65"
"ALEMBICLTD","EQ","23-Jul-2020","         84.45","         84.80","         86.00","         82.60","         83.00","         82.95","         84.10","     875343","            73612851.25","       7832","     398241","         45.50"
"ALEMBICLTD","EQ","24-Jul-2020","         82.95","         82.30","         83.90","         81.00","         81.15","         81.40","         82.06","     898372","            73722946.10","       5888","     390552","         43.47"
"ALEMBICLTD","EQ","27-Jul-2020","         81.40","         81.50","         81.50","         74.00","         76.65","         76.70","         77.04","    1169007","            90055633.00","       9156","     488223","         41.76"
"ALEMBICLTD","EQ","28-Jul-2020","         76.70","         77.35","         78.85","         76.55","         77.80","         77.65","         77.62","     565080","            43859185.35","       5311","     200525","         35.49"
"ALEMBICLTD","EQ","29-Jul-2020","         77.65","         77.20","         79.25","         77.00","         77.65","         77.50","         78.11","     438964","            34286076.75","       3616","     169498","         38.61"
"ALEMBICLTD","EQ","30-Jul-2020","         77.50","         77.50","         81.85","         77.50","         78.95","         78.95","         80.05","    1383624","           110757986.25","      10552","     346522","         25.04"
"ALEMBICLTD","EQ","31-Jul-2020","         78.95","         79.65","         81.00","         78.40","         78.90","         79.20","         79.92","     925464","            73959582.80","       6103","     278005","         30.04"
"ALEMBICLTD","EQ","03-Aug-2020","         79.20","         79.05","         85.65","         79.05","         85.15","         84.70","         83.61","    3464178","           289642970.55","      21686","    1342986","         38.77"
"ALEMBICLTD","EQ","04-Aug-2020","         84.70","         85.40","         91.45","         85.00","         88.40","         88.85","         88.51","    4692194","           415285180.40","      30296","    1531692","         32.64"
